servei,id,nom,lat,lon,bicis,espais,canvi_rapid
Bicing,00028670e3d01438515caba403ffd680," PL  JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,15,1,1
Bicing,00341b8b54545c560fdec7d7983f9f5a,"C/ SARDENYA,  178",41.3967169,2.1825085,14,25,14
Bicing,00565dda9629be93f8f69358b48602cc,"PL. CATALUNYA, 7",41.386543,2.169427,7,19,7
Bicing,006395fd7434c1f65d20cf0a1b0c94f0,"C/ VILADOMAT, 200",41.384810211467105,2.1508071246452154,7,14,7
Bicing,00e4814116fc414fb00b93cc1c9aa1ca,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,20,6,6
Bicing,026153e8343ea0aa59a299ddc55f1883,"C/ FELIP II, 214",41.426925,2.1786224,16,8,8
Bicing,03b90625659c5bcdf8466510c9c9cdb3,"C/ BAC DE RODA, 11",41.4023354,2.2105777,11,8,8
Bicing,03e6b3ec53c2502134c81d25be2babea,"PG. PUJADES, 2",41.389135,2.183489,10,16,10
Bicing,03f546e866d88a87aca588e8177f96eb,"AV. PARAL.LEL, 54",41.3751145,2.1709386,13,3,3
Bicing,03f8133a557d1706e2bdaa59db24514c,"AV. PARAL·LEL, 146 BIS",41.3751852,2.1592394,10,26,10
Bicing,04c1f418a16200483f9ff8d36ffbea54,"C/ VILLARROEL, 39",41.3821314,2.1606534,14,18,14
Bicing,04d2405659301888532b220530bf6ab7,"C/ SARDENYA, 362",41.4055143,2.1706498,2,18,2
Bicing,05cd03116f27936f57a868706aeb2753,"AV. RASOS DE PEGUERA, 10",41.462095,2.178959,2,15,2
Bicing,07bb417c7ade54ee396bb3377c172c20,"C/ SANT ADRIÀ, 2-8",41.433934,2.1896502,10,13,10
Bicing,080233252e62b5c4a5f651f1b69e7eff,"C/ PALLARS, 182",41.4003471,2.1969105,15,13,13
Bicing,084523f98844ad705e48d34b3d667865,PL. TETUAN,41.3943454,2.1751709,9,7,7
Bicing,086561ce0bc3e36a81eb90e26d0bc610,"C/ ROSSELLÓ, 108-110",41.388296,2.150878,8,9,8
Bicing,0894812b21c0802c56c0fcdcf203e18d,"C/ CONSELL DE CENT, 566",41.4040364,2.183145,4,33,4
Bicing,08d2c0fa3b24ab7c8cee1149ce4df3d7,"C/ BRUC, 88",41.394576,2.169295,5,11,5
Bicing,08f3770880c755e9b32c907b53690d71,"C/ PAU ALSINA, 54",41.4092005,2.16400285,9,8,8
Bicing,09257dd0300decf3aa34145b7988dbba,"C/ CAMÈLIES, 78",41.4145614,2.1658677,1,23,1
Bicing,092ea1f184d8d1755f3a5a91104916fe,"C/ BAILÉN, 100",41.396994,2.1706323,6,22,6
Bicing,094eb7b65cdf38f3f7abd6fe76833690,"AV. DIAGONAL, 680",41.3875297,2.1237141,0,27,0
Bicing,09734124b93865e145f57da0e1a8a096,"LA RAMBLA, 1",41.376326,2.176971,14,4,4
Bicing,09ca480f42e8a372dae53bc4137e7038,"C/ ALT DE GIRONELLA, 13",41.3949601,2.1302775,1,20,1
Bicing,09cb8fd9f4b645c6115ab159cf8451aa,"C/ SANT ANTONI Mª CLARET, 290-296",41.4138664,2.1777274,7,17,7
Bicing,09d2b48c91aac474258bef2a1700ed16,"AV. DIAGONAL, 668",41.3887069,2.1285766,0,30,0
Bicing,0a5863be2a7bf9d1a16bfe4461a8f6d0,"VIA FAVÈNCIA, 186",41.4427374,2.170393,2,20,2
Bicing,0a7556a190afc2de3bc42eef1b8b5515,"AV. DIAGONAL, 602",41.392878,2.143411,6,16,6
Bicing,0ae0e4f1bb5a5d21b268bec539413fde,"C/ J. MAYNARD KEYNES, 2|AV. DGNAL.",41.3862258,2.1168609,1,50,1
Bicing,0b683b9f2f5596baaea1da793fb36161,"C/ JOSEP PLA, 67",41.411381,2.2122054,9,13,9
Bicing,0bf11c6c1881281b3582f7468f7f7223,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,10,21,10
Bicing,0c4cac5891975861c141dbd44374cd54,"C/ BILBAO, 2",41.4008312,2.206645,6,18,6
Bicing,0c539fabc4dc46d8b5ceb3be59fce5d1,CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,41.4389609,2.1996179,11,10,10
Bicing,0ca177aa7f157d4fd9ee72679f6d3b79,"C/ SARDENYA, 292",41.4016969,2.175767,8,4,4
Bicing,0d30318c6df68a1f890c2811482d2667,"RBLA. CATALUNYA, 33 - C/ DIPUTACIÓ",41.3896967,2.1652199,5,18,5
Bicing,0d8fa3d220b325a928f1d218b3155113,"C/ ROSA SENSAT, 20",41.3910756,2.1965766,6,12,6
